Brand,Price Value,Currency,Rating,Ratings Count,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,Resolution Width,Resolution Height
Samsung,203.72,$,3.5 out of 5 stars,4.0,Qualcomm Snapdragon 8cx Gen 2,14.0,Unknown,Silver,4 GB,256 GB,Intel UHD Graphics,3.20 GHz,Laptop,2021,Galaxy Book,Windows 10 Home,"Bluetooth, Built-in Webcam, Widescreen Display, Wi-Fi, LTE, Built-in Microphone",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,239.98,$,Unknown,4.0,AMD Ryzen 7,14.0,Unknown,Silver,32 GB,512 GB,AMD Radeon RX Vega 10,2.30 GHz,Notebook/Laptop,Unknown,ELITEBOOK 745 G6,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Microsoft,379.99,$,5 out of 5 stars,1.0,Microsoft SQ1,13.0,Matte Black,Black,8 GB,128 GB,Qualcomm Adreno 685,1.80 GHz,Notebook/Laptop,2021,Microsoft Surface Pro X,Windows 10 Home,"Touchscreen, Bluetooth, Wi-Fi, LTE",Unknown,Unknown,SSD (Solid State Drive),2880.0,1920.0
Microsoft,188.54,$,Unknown,4.0,Intel Core i5,12.5,Unknown,Unknown,8 GB,256 GB,Unknown,Unknown,Unknown,Unknown,Microsoft Surface Pro,Unknown,Unknown,256 GB,Unknown,Unknown,1920.0,1080.0
Dell,44.0,$,Unknown,4.0,Intel Celeron,11.6,Unknown,Black,4 GB,16 GB,Unknown,Unknown,Netbook,Unknown,Dell Chromebook 11 3180,Chrome OS,Wi-Fi,16 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,288.0,$,Unknown,4.0,Core i7,12.5,Unknown,Unknown,Unknown,512 GB,Intel HD Graphics 620,2.80 GHz,Notebook/Laptop,Unknown,Dell Latitude 7280,Windows 10 Pro,"Touchscreen,  Widescreen Display,  Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Acer,64.99,$,Unknown,4.0,A72/A53 2.0GHz,9.7,Unknown,Blue,4 GB,32 GB,Unknown,Unknown,Chromebook,2018,Acer Chromebook 10,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Stylus,  Touchscreen,  Wi-Fi",32 GB,Unknown,eMMC,1536.0,2048.0
Dell,824.99,$,Unknown,4.0,i7-8650U,14.0,Unknown,Black,16 GB,1 TB,AMD Radeon RX540,1.90 GHz,Notebook/Laptop,2020,5420 Rugged 14,Windows 11 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, LTE, Multi-Touch Trackpad, Rugged, Touchscreen, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,799.95,$,Unknown,4.0,Intel Core i7 8th Gen.,15.6,Unknown,Silver,16 GB,1 TB,AMD Radeon 4GB GPU,3.10 GHz,Convertible 2-in-1 Laptop/Tablet,2022,Dell,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi",Don't Apply,Unknown,SSD (Solid State Drive),1920.0,1080.0
Acer,41.0,$,3.5 out of 5 stars,3.0,Intel Celeron N,11.6,Gray,Gray,4 GB,Unknown,Intel HD Graphics 400,2.48 GHz,Notebook/Laptop,Unknown,C731T-C0X8,Chrome OS,Touchscreen,Unknown,Unknown,eMMC,1366.0,768.0
Microsoft,149.98,$,Unknown,4.0,Intel Core m3 8th Gen.,10.5,Unknown,Gray,8 GB,128 GB,Intel UHD Graphics 615,1.10 GHz,Notebook/Laptop,Unknown,Microsoft Surface Go 2 LTE,Windows 10 Pro,Unknown,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,129.95,$,5 out of 5 stars,1.0,Intel Core i7 6th Gen.,12.5,Unknown,Black,8 GB,256 GB,Intel® HD Graphics 520,2.60 GHz,Notebook/Laptop,2017,Dell Latitude E7270,Windows 10 Pro,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card, Backlit Keyboard, Force Touch Trackpad, Built-in Microphone",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,349.99,$,Unknown,4.0,Intel Core i7 8th Gen.,13.0,Unknown,Black,16 GB,256 GB,Intel UHD Graphics 620,1.80 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad X1 Tablet Gen 3,Windows 11 Pro,LTE,256 GB,Unknown,SSD (Solid State Drive),3000.0,2000.0
Dell,159.0,$,Unknown,4.0,Intel Core i7 8th Gen.,12.5,Unknown,Black,8 GB,256 GB,Unknown,1.90 GHz,Notebook/Laptop,Unknown,Dell Latitude 7390,Windows 10,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Force Touch Trackpad",8 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,65.0,$,Unknown,4.0,Intel(R) Atom (TM) x7-Z8750 CPU @ 1.60GHz,10.1,Unknown,Black,4 GB,115gb,Unknown,1.60 GHz,Tablet,2016,2.00E+04,Windows 10,"Bluetooth, Rugged, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Acer,65.99,$,Unknown,4.0,AMD A4-9120e,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Acer Aspire 3,Windows 10,Unknown,Unknown,Unknown,Unknown,1366.0,768.0
HP,155.0,$,Unknown,4.0,Intel Pentium,12.0,Unknown,Black,4 GB,128 GB,Intel HD Graphics 615,1.20 GHz,Notebook/Laptop,2018,HP Pro X2 612 G2 Tablet,Windows 11 Pro,Touchscreen,128 GB,Taiwan,SSD (Solid State Drive),1920.0,1280.0
Lenovo,89.99,$,Unknown,4.0,Intel Celeron N,11.6,Unknown,Black,4 MB,32 GB,Intel HD Graphics 500,1.10 GHz,Notebook/Laptop,Unknown,Lenovo 100e,Chrome OS,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Multi-Touch Trackpad,  Rugged,  Wi-Fi",4 GB,Unknown,eMMC,1366.0,768.0
Dell,90.0,$,Unknown,4.0,i7,15.6,Unknown,Unknown,8 GB,128 GB,Unknown,2.60 GHz,Notebook/Laptop,Unknown,Dell Latitude E5570,Windows 10 Pro,Unknown,128 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Microsoft,179.95,$,Unknown,4.0,Intel Core i5 6th Gen.,12.3,Unknown,Silver,8 GB,256 GB,Intel HD Graphics,2.40 GHz,Notebook/Laptop,Unknown,Microsoft Surface Pro 4,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Widescreen Display, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),2736.0,1824.0
HP,199.99,$,Unknown,4.0,Intel Core i7 8th Gen.,15.6,Unknown,Silver / Black,16 GB,256 GB,Intel HD Graphics 620,1.80 Ghz,Notebook/Laptop,Unknown,HP EliteBook 850,Windows 11 Pro,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Multi-Touch Trackpad, Wi-Fi, Dual Band Wireless AC",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,94.99,$,Unknown,4.0,Intel Core i5 6th Gen.,12.5,Unknown,Black,8GB,256 GB,Unknown,2.40 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad X270,Not Included,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi,  Widescreen Display",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Lenovo,220.0,$,Unknown,4.0,Intel Core i5 8th Gen.,14.0,Unknown,Black,16 GB,512 GB,Intel UHD Graphics 620,1.6 GHz,Notebook/Laptop,Unknown,T490,Windows 11 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam",512 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,114.95,$,Unknown,4.0,Intel Core i5 8th Gen.,14.0,Unknown,Black,8 GB,Unknown,Unknown,1.70 GHz,Notebook/Laptop,Unknown,Lenovo ThinkPad X1 Yoga 3rd Generation,Not Included,"Wi-Fi,  Widescreen Display,  Multi-Touch Trackpad,  Touchscreen,  Backlit Keyboard",Unknown,Unknown,Unknown,1920.0,1080.0
Dell Inc.,81.99,$,Unknown,4.0,Intel Core i5 6th Gen.,14.0,Unknown,Unknown,8 GB,256 GB,Intel(R) HD Graphics 520,2.40GHz,Notebook/Laptop,Unknown,Latitude 5480,Windows 10 Pro,"Backlit Keyboard, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Lenovo,338.75,$,Unknown,4.0,Intel Core i3 11th Gen.,15.6,Unknown,Grey,8 GB,256 GB,Intel UHD Graphics,Unknown,Notebook/Laptop,2023,IdeaPad 3,Windows 10,"Touchscreen, Built-in Webcam, Wi-Fi, Built-in Microphone",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Unknown,302.16,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel GMA 950,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,205.7,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,324.58,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Nvidia GeForce GT720M,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,85.28,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,88.73,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,203.53,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,38.07,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,337.57,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,INTEL HD-GRAFIK 620,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,65.04,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
LG,97.7,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
LG,112.3,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,410.41,$,Unknown,4.0,Intel Core i5 4th generation,10.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 4200,1.50-1.99GHz,Notebook/Laptop,Unknown,11 Pro 7130,Windows 11 pros,"SIM slots, Touchscreen, Touch ID, Bluetooth, Webcam integrated, Wi-Fi, Player SD",NO,Unknown,SSD,1920.0,1080.0
Dell,331.05,$,Unknown,4.0,Intel Core i5 5th generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 5500,Unknown,Laptop,Unknown,E7450,Windows 10 Pros,Unknown,NO,Unknown,Unknown,1920.0,1080.0
Dell,348.02,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 4000,2.00-3.00GHz,Notebook/Laptop,Unknown,E6430,Windows 10 Pros,"10/100 LAN Card, Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Unknown,107.17,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,347.17,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 5500,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,92.33,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
AUO,91.72,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,28.51,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,8.7,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,467.43,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader,  Bluetooth",NO,Unknown,Unknown,1920.0,1080.0
Dell,281.82,$,Unknown,4.0,Intel Core i5 3rd generation,14.0,Unknown,Unknown,Unknown,120,Intel HD Graphics 4000,2.00-3.00GHz,Notebook/Laptop,Unknown,E6430,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi",NO,Unknown,Unknown,1920.0,1080.0
Unknown,109.03,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
HannStar,102.86,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,58.74,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,178.82,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel GMA 950,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
AUO,92.04,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,323.84,$,Unknown,4.0,Intel Core i5 5th generation,14.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 5500,2.70 GHz,Notebook/Laptop,Unknown,E7450,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Fujitsu Siemens,423.39,$,Unknown,4.0,Intel Core i5 4th generation,15.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,Unknown,A574,Windows 11 pros,"10/100 LAN Card,  Optical Drive,  Wi-Fi,  Bluetooth",NO,Unknown,SSD,1920.0,1080.0
Unknown,85.92,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Samsung,69.93,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,7.61,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Olidata,21.93,$,Unknown,4.0,Intel Pentium,15.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,304.47,$,Unknown,4.0,Unknown,14.0,Unknown,Negro,Unknown,Unknown,Gráficos Intel HD 4000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,330.2,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Carte graphique Intel HD 520,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,334.64,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,240GB,Nvidia GeForce GT720M,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Lenovo,68.0,$,Unknown,4.0,Intel Core i7 4th Gen.,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Notebook/Laptop,Unknown,THINKPAD P15 GEN 2,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Lenovo,329.99,$,Unknown,4.0,Intel Core i7 8th Gen.,15.6,Unknown,Unknown,16 GB,512 GB,Unknown,Unknown,Unknown,Unknown,Lenovo Thinkpad T580,Unknown,Unknown,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,299.99,$,Unknown,4.0,Unknown,15.6,Unknown,Silver,Unknown,Unknown,Unknown,Unknown,LCD Touchscreen Assembly,Unknown,HP ENVY x360,Unknown,"Built-in Webcam, Touchscreen",Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,107.68,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,374.99,$,Unknown,4.0,i7-10610U,14.0,Unknown,Unknown,32 GB,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Windows 10,Unknown,Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,175.0,$,Unknown,4.0,Intel Core i5 7th Gen.,12.5,Unknown,Black,16 GB,256 GB,Intel HD Graphics,2.60 GHz,Notebook/Laptop,Unknown,Dell Latitude 7280,Windows 11 Pro,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen, Wi-Fi",256 GB,Unknown,SSD (Solid State Drive),1366.0,768.0
Durabook,1.0,$,Unknown,4.0,i5,14.0,Unknown,Black,8 GB,256 GB,Unknown,Unknown,Durabook,Unknown,Unknown,Windows 10 Pro,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,128.09,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Gateway,198.0,$,Unknown,4.0,Intel Core i3 11th Gen.,15.6,Unknown,Blue,4 GB,128 GB,Unknown,4.10 GHz,Notebook/Laptop,Unknown,Gateway Ultra Slim,Windows 11 Home S,"Bluetooth,  Built-in Microphone,  Built-in Webcam",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,159.99,$,Unknown,4.0,Unknown,15.4,Unknown,Gray,Unknown,64GB Solid State Drive,Unknown,Core 2 Duo Processor,Notebook,Unknown,D830 / D820,Windows 10,Unknown,64GB SSD,Unknown,HDD (Hard Disk Drive),1920.0,1080.0
Dell,599.0,$,Unknown,4.0,Intel Core i5 11th Gen.,14.0,Unknown,Black,16 GB,256 GB,Intel Iris Xe Graphics,2.60 GHz,Notebook/Laptop,Unknown,Dell Latitude 7420,Windows 10 Pro,"Built-in Microphone, Bluetooth, Backlit Keyboard, Touchscreen, Built-in Webcam, Wi-Fi",256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Dell,134.99,$,Unknown,4.0,Intel Core i7,12.5,Unknown,Unknown,Unknown,Unknown,Unknown,2.60 GHz,Notebook/Laptop,Unknown,7280,Windows 10 Home,Unknown,256 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
Lenovo,40.0,$,Unknown,4.0,Intel Core i5-6200U,14.0,Unknown,Black,4 GB,Unknown,Unknown,2.3ghz,Notebook/Laptop,Unknown,Lenovo ThinkPad E470,Not Included,Unknown,4 GB,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,799.99,$,5 out of 5 stars,2.0,Intel Core i7 11th Gen.,15.6,Natural Silver,Silver,16 GB,512 GB,Intel Iris Xe Graphics,2.80 GHz,Notebook/Laptop,2021,HP ENVY x360 15m-es0023dx,Windows 10 Home,"Wi-Fi, Backlit Keyboard, Built-in Microphone",Unknown,Unknown,SSD (Solid State Drive),1920.0,1080.0
HP,229.99,$,Unknown,4.0,NONE,15.6,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,LCD Touchscreen Assembly,Unknown,HP Spectre X360,Unknown,"Built-in Webcam,  Touchscreen",Unknown,Unknown,Unknown,1920.0,1080.0
Dell,59.99,$,Unknown,4.0,Intel Core i5 5th Gen.,14.0,Unknown,Black,8 GB,Unknown,Unknown,2.30 GHz,Notebook/Laptop,Unknown,Dell Latitude E5450,Windows 10 Pro,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Wi-Fi",500 GB,Unknown,HDD (Hard Disk Drive),1366.0,768.0
Dell,119.0,$,Unknown,4.0,Intel Core i5-6300U 2.40GHz,14.0,Unknown,Black,8GB,256GB,Integrated,2.40GHz,Laptop,Unknown,Latitude E5470,Windows 10 Pro,"Webcam,  SD Slot",Unknown,Unknown,SSD,1920.0,1080.0
Fujitsu Siemens,400.71,$,Unknown,4.0,Intel Core i3 4th generation,13.0,Unknown,Unknown,Unknown,240GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,Unknown,E734,Windows 10 pros,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",NO,Unknown,SSD,1920.0,1080.0
DELL,259.95,$,Unknown,4.0,Intel Core i5 11th Gen.,14.0,Unknown,Unknown,16 GB,512 GB,Intel(R) Iris(R) Xe Graphics,2.40GHz,Notebook/Laptop,2020,LATITUDE 3420,Windows 11 Pro,"Foreign Keyboard, Multi-Touch Trackpad, Windows Hello, Wi-Fi, Wi-Fi 6, Built-in Webcam",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
ASUS,70.13,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
ASUS,219.0,$,Unknown,4.0,Rockchip RK3288-C,10.1,Silver,Silver,4 GB,16 GB,Unknown,1.80 GHz,Notebook/Laptop,Unknown,ASUS Chromebook,Chrome OS,"Micro-SD Card Reader,  Headphone  Mic Combo Jack,  Bluetooth,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Touchscreen,  Wi-Fi",Not Applicable,Unknown,SSD (Solid State Drive),1280.0,800.0
Lenovo,149.0,$,4.5 out of 5 stars,15.0,AMD A6-9220E,14.0,Platinum Gray,Gray,4 GB,64 GB,AMD Radeon R4,1.60 GHz,Notebook/Laptop,Unknown,81VS009GUS,Windows 10,"Bluetooth, Built-in Webcam, Wi-Fi, 10/100 LAN Card",64 GB,Unknown,eMMC,1366.0,768.0
Lenovo,129.0,$,Unknown,4.0,Intel Core i3 7th Gen.,15.6,Unknown,Black,4 GB,180GB,Intel HD Graphics 520,2.40 GHz,Notebook/Laptop,Unknown,E570,Windows 10 Pro,"Bluetooth, Built-in Microphone, Built-in Webcam, Optical Drive, Widescreen Display, Wi-Fi",Unknown,Unknown,SSD (Solid State Drive),1366.0,768.0
Unknown,275.14,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel HD Graphics 4000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Dell,320.8,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,120GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader",NO,Unknown,Unknown,1920.0,1080.0
Dell,406.25,$,Unknown,4.0,Intel Core i5 4th generation,10.0,Unknown,Unknown,Unknown,480GB,Intel HD Graphics 4200,1.50-1.99GHz,Notebook/Laptop,Unknown,11 Pro 7130,Windows 11 pros,"SIM slots, Touchscreen, Touch ID, Bluetooth, Webcam integrated, Wi-Fi, Player SD",NO,Unknown,SSD,1920.0,1080.0
Dell,462.68,$,Unknown,4.0,Intel Core i5 4th generation,14.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,Unknown,E5440,Windows 10 Pros,"10/100 LAN Card, Wi-Fi, SD Card Reader, Bluetooth",NO,Unknown,Unknown,1920.0,1080.0
Lenovo,446.14,$,Unknown,4.0,Intel Core i5 6th generation,14.0,Unknown,Unknown,Unknown,960GB,Intel HD Graphics 620,2.80 GHz,Notebook/Laptop,Unknown,T470s,Windows 11 Pro,"Touch ID,  10/100 LAN Card,  Wi-Fi,  Backlit Keyboard,  Bluetooth",NO,Unknown,Unknown,1920.0,1080.0
Unknown,114.51,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Samsung,66.41,$,Unknown,4.0,Does not apply,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,82.42,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,154.44,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,301.41,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Intel GMA 950,Unknown,Ordinateur portable/Pc portable,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
Unknown,58.55,$,Unknown,4.0,Unknown,14.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1920.0,1080.0
